24,10,18,40,33,01
15,53,55,12,34,14
01,41,31,13,29,24
50,32,15,53,29,52
12,40,21,44,57,28
19,17,13,53,56,15
07,57,51,08,53,16
09,49,47,43,16,42
07,10,13,15,03,55
56,34,53,01,28,46
48,57,13,51,02,15
57,53,39,50,35,18
46,07,17,01,41,34
28,49,46,32,29,54
33,05,38,51,52,10
15,31,28,25,42,11
05,20,43,25,48,35
32,18,33,08,01,29
17,01,08,24,39,07
53,30,47,54,02,35
19,17,23,06,54,27
28,39,46,22,25,26
58,26,11,51,43,39
57,56,17,36,18,07
44,06,01,53,45,27
13,11,16,40,55,25
49,09,30,50,33,04
42,55,46,30,02,58
15,39,38,13,34,51
31,18,06,48,15,58
16,54,41,06,29,46
49,25,01,22,34,08
21,38,24,16,22,50
14,46,17,05,06,26
18,48,36,07,20,16
14,25,35,31,48,08
31,15,30,13,53,04
47,20,08,15,34,50
24,37,15,53,05,49
15,18,27,40,37,42
53,04,45,30,12,29
24,18,37,11,02,51
04,54,51,55,30,06
11,03,30,37,38,41
58,15,37,46,01,44
48,28,51,15,39,42
11,15,56,38,53,45
07,34,51,06,10,21
19,27,07,46,18,53
51,31,22,19,02,32
46,11,21,24,19,57
32,15,23,10,18,22
25,26,36,03,33,56
09,23,07,37,32,40
32,57,01,49,09,19
34,14,19,22,10,43
34,45,14,40,01,13
25,49,10,37,26,06
26,08,43,22,27,12
01,53,27,11,43,18
44,35,39,34,03,50
49,31,39,05,41,43
54,22,17,08,48,05
48,18,57,09,28,53
07,56,37,17,49,11
46,01,05,11,07,21
49,57,52,28,03,06
03,22,52,50,47,44
17,24,10,58,25,11
55,34,16,31,40,23
01,19,13,29,51,04
31,24,45,19,34,52
07,57,50,01,10,02
56,26,04,51,49,18
35,17,28,33,22,25
47,15,48,03,35,56
02,51,32,47,17,24
55,29,31,57,14,20
22,03,57,58,54,14
24,06,55,03,28,27
45,50,34,02,43,11
51,37,40,07,29,05
43,24,06,25,28,40
39,09,56,26,29,34
14,03,51,32,21,48
53,26,15,45,46,03
47,16,29,51,18,54
31,07,34,14,39,50
38,35,37,15,56,45
01,13,42,24,53,56
